epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6769.26,1.17963,2.56804,1.48244,1.37797,0,0.742,0.65778,0.70399,0.54938,0.73919,0.64874,0.68987,0.51997,1.19087,2.35271,1.30382,1.39708,0,0.000929948,0.000929948,0.000929948
29,7013.45,1.16925,2.56114,1.47687,1.37038,0,0.73764,0.68225,0.71598,0.56363,0.73306,0.67139,0.70109,0.5331,1.17708,2.28473,1.26878,1.39364,0,0.000924815,0.000924815,0.000924815
30,7228.01,1.16818,2.53861,1.45728,1.36432,0,0.7483,0.66708,0.71872,0.56285,0.73287,0.65601,0.69764,0.52273,1.19168,2.36489,1.27707,1.39998,0,0.000919517,0.000919517,0.000919517
31,7442.1,1.16799,2.54267,1.47385,1.36585,0,0.75375,0.6878,0.73201,0.58118,0.74736,0.6819,0.71462,0.54299,1.15889,2.27763,1.21252,1.37515,0,0.000914058,0.000914058,0.000914058
32,7654.19,1.14965,2.50959,1.43157,1.35219,0,0.74588,0.69817,0.73329,0.58324,0.73743,0.68883,0.71635,0.53942,1.1493,2.30033,1.23379,1.36623,0,0.000908438,0.000908438,0.000908438
33,7896.74,1.15585,2.52679,1.44451,1.35878,0,0.75509,0.697,0.73636,0.58204,0.75725,0.68674,0.71934,0.54192,1.14834,2.2596,1.19857,1.37546,0,0.000902662,0.000902662,0.000902662
34,8110.73,1.14828,2.4965,1.42224,1.3561,0,0.76482,0.69822,0.74398,0.58719,0.76706,0.68843,0.72759,0.5494,1.14863,2.21976,1.18873,1.36264,0,0.000896731,0.000896731,0.000896731
35,8369.01,1.14458,2.48972,1.40171,1.35038,0,0.78174,0.70435,0.75196,0.59579,0.76789,0.69867,0.72987,0.55177,1.13403,2.21898,1.15775,1.35268,0,0.000890648,0.000890648,0.000890648
36,8579.46,1.13445,2.471,1.3988,1.33857,0,0.78309,0.6971,0.74824,0.59403,0.78338,0.68687,0.73092,0.55424,1.12047,2.20007,1.1703,1.33822,0,0.000884415,0.000884415,0.000884415
37,8791.12,1.13198,2.46386,1.38121,1.34257,0,0.78034,0.70204,0.75183,0.59374,0.77982,0.69511,0.73779,0.55166,1.13664,2.21583,1.1641,1.35072,0,0.000878036,0.000878036,0.000878036
38,9001.45,1.12951,2.45916,1.36244,1.33381,0,0.7903,0.70305,0.75359,0.59789,0.78832,0.6896,0.73532,0.55771,1.12453,2.19879,1.14372,1.33925,0,0.000871513,0.000871513,0.000871513
39,9293.37,1.12961,2.45361,1.37007,1.3301,0,0.77582,0.71908,0.76246,0.60933,0.76934,0.70952,0.74794,0.56432,1.1023,2.15938,1.12202,1.32736,0,0.000864849,0.000864849,0.000864849
40,9520.94,1.1253,2.45504,1.36289,1.33596,0,0.79361,0.71763,0.76694,0.61111,0.79651,0.70619,0.74758,0.56846,1.10708,2.16168,1.11198,1.33174,0,0.000858046,0.000858046,0.000858046
41,9838.55,1.12285,2.46596,1.35504,1.32748,0,0.79667,0.72778,0.7655,0.61227,0.79387,0.7139,0.74635,0.56398,1.09895,2.14379,1.10815,1.32207,0,0.000851109,0.000851109,0.000851109
42,10047.9,1.11329,2.43688,1.34223,1.32684,0,0.80127,0.71599,0.76989,0.61604,0.79911,0.70501,0.7526,0.56853,1.09164,2.15655,1.10483,1.31628,0,0.000844039,0.000844039,0.000844039
43,10334.5,1.1062,2.42234,1.32857,1.32131,0,0.80031,0.72825,0.77309,0.61428,0.7859,0.71676,0.75136,0.57141,1.10718,2.12988,1.07797,1.32883,0,0.000836841,0.000836841,0.000836841
44,10543.3,1.10352,2.39571,1.30249,1.3143,0,0.79868,0.72373,0.7733,0.62054,0.78903,0.71347,0.75421,0.57353,1.07693,2.11971,1.08361,1.30426,0,0.000829517,0.000829517,0.000829517
45,10753.6,1.09879,2.38545,1.29849,1.31277,0,0.82762,0.72292,0.7814,0.62573,0.81955,0.71555,0.76166,0.57959,1.08181,2.09374,1.05647,1.30633,0,0.00082207,0.00082207,0.00082207
46,10998.6,1.10139,2.391,1.28791,1.31051,0,0.80763,0.73844,0.78775,0.63096,0.79742,0.72138,0.76418,0.58276,1.0794,2.09183,1.03154,1.29918,0,0.000814503,0.000814503,0.000814503
47,11287.5,1.09608,2.38682,1.28354,1.30831,0,0.80898,0.73476,0.78669,0.63401,0.80486,0.72079,0.76572,0.58538,1.06847,2.0761,1.03929,1.2946,0,0.000806821,0.000806821,0.000806821
48,11496.4,1.10407,2.4154,1.29835,1.31255,0,0.81466,0.74035,0.79093,0.63635,0.81739,0.72227,0.77171,0.58845,1.05878,2.07205,1.01576,1.28219,0,0.000799026,0.000799026,0.000799026
49,11707.7,1.09521,2.37885,1.2807,1.30915,0,0.82015,0.73953,0.7905,0.63607,0.80409,0.73356,0.77177,0.58964,1.05296,2.03944,1.01423,1.27852,0,0.000791122,0.000791122,0.000791122
50,11921.2,1.08675,2.3729,1.27835,1.30377,0,0.82384,0.72928,0.79557,0.63935,0.81551,0.72031,0.77352,0.5917,1.05674,2.05967,1.01465,1.28343,0,0.000783112,0.000783112,0.000783112
51,12137.9,1.07864,2.35898,1.25205,1.29463,0,0.81219,0.75276,0.80039,0.64475,0.8288,0.72821,0.7804,0.59831,1.05769,2.05937,0.98428,1.28117,0,0.000775,0.000775,0.000775
52,12348.4,1.0757,2.34664,1.23779,1.29096,0,0.83408,0.74096,0.80159,0.64726,0.83709,0.73305,0.78346,0.5996,1.04489,2.02553,0.98274,1.26838,0,0.000766789,0.000766789,0.000766789
53,12610.2,1.07527,2.34606,1.25004,1.29527,0,0.8232,0.74962,0.80148,0.64747,0.82954,0.74127,0.78729,0.60132,1.04393,2.01848,0.9653,1.27051,0,0.000758483,0.000758483,0.000758483
54,12819.8,1.06866,2.32776,1.23297,1.28371,0,0.8193,0.75632,0.80625,0.65191,0.80651,0.74274,0.78512,0.5982,1.0422,2.01046,0.96572,1.25565,0,0.000750086,0.000750086,0.000750086
55,13161.1,1.06574,2.33216,1.21368,1.27862,0,0.84152,0.75721,0.81371,0.65596,0.8337,0.74903,0.79334,0.6007,1.03811,1.98915,0.93273,1.26261,0,0.000741601,0.000741601,0.000741601
56,13370,1.07117,2.32491,1.22018,1.2795,0,0.82169,0.76182,0.8135,0.65395,0.81429,0.75001,0.79181,0.60509,1.03904,2.00608,0.94134,1.26104,0,0.000733031,0.000733031,0.000733031
57,13579.6,1.05708,2.29095,1.1898,1.27108,0,0.83777,0.76961,0.81519,0.65846,0.82619,0.75859,0.79188,0.6047,1.03176,1.98547,0.93889,1.24827,0,0.000724382,0.000724382,0.000724382
58,13890.2,1.04817,2.29146,1.19308,1.27508,0,0.82102,0.76738,0.81599,0.66027,0.81242,0.75963,0.79309,0.60848,1.02484,1.96957,0.92847,1.25065,0,0.000715656,0.000715656,0.000715656
59,14126.1,1.0469,2.27931,1.17384,1.26758,0,0.84276,0.76194,0.81741,0.66427,0.84324,0.74887,0.79688,0.61091,1.019,1.95925,0.91912,1.24297,0,0.000706857,0.000706857,0.000706857
60,14516.7,1.05867,2.28801,1.18907,1.27345,0,0.83459,0.76639,0.8212,0.66714,0.83593,0.75109,0.8008,0.61589,1.0148,1.95079,0.91455,1.23877,0,0.00069799,0.00069799,0.00069799
61,14726.1,1.04461,2.25971,1.16134,1.26178,0,0.84781,0.77323,0.82726,0.67321,0.83856,0.76126,0.80691,0.617,1.01238,1.93884,0.89957,1.23681,0,0.000689058,0.000689058,0.000689058
62,14936,1.03365,2.23887,1.15584,1.25823,0,0.8456,0.77672,0.82837,0.67128,0.84741,0.76664,0.81279,0.61878,1.01202,1.93404,0.89767,1.23682,0,0.000680064,0.000680064,0.000680064
63,15144.7,1.02699,2.23581,1.14051,1.24946,0,0.84281,0.77774,0.82885,0.67341,0.84551,0.76567,0.81147,0.62153,1.01094,1.9283,0.893,1.22987,0,0.000671014,0.000671014,0.000671014
64,15354.6,1.03056,2.22288,1.13331,1.24939,0,0.86741,0.77056,0.8338,0.67645,0.86186,0.76565,0.81664,0.62211,1.01141,1.91528,0.87109,1.22792,0,0.00066191,0.00066191,0.00066191
65,15620.7,1.03421,2.25871,1.13362,1.2549,0,0.8571,0.77726,0.83706,0.67869,0.85578,0.76829,0.81931,0.62471,1.00279,1.90154,0.87068,1.22228,0,0.000652758,0.000652758,0.000652758
66,15830.1,1.02769,2.24873,1.13783,1.25218,0,0.86391,0.77678,0.83806,0.67876,0.86183,0.76628,0.82117,0.62512,1.0023,1.9043,0.86784,1.22812,0,0.00064356,0.00064356,0.00064356
67,16128.8,1.02949,2.24382,1.13765,1.25572,0,0.85734,0.78541,0.83695,0.68186,0.86446,0.76877,0.81868,0.62895,0.99097,1.89859,0.86063,1.21488,0,0.000634322,0.000634322,0.000634322
68,16337.9,1.02843,2.23334,1.12637,1.24803,0,0.87812,0.78102,0.84355,0.68807,0.86872,0.77325,0.82314,0.63185,0.98902,1.90169,0.84911,1.21425,0,0.000625046,0.000625046,0.000625046
69,16548.7,1.02707,2.23221,1.11514,1.24683,0,0.87753,0.78336,0.84391,0.6896,0.86545,0.77435,0.82438,0.63209,0.98631,1.89705,0.84644,1.20836,0,0.000615737,0.000615737,0.000615737
70,16759.2,1.01329,2.20016,1.09118,1.24008,0,0.86811,0.78608,0.84444,0.68918,0.85961,0.77794,0.82382,0.63336,0.98778,1.89244,0.84781,1.2078,0,0.0006064,0.0006064,0.0006064
71,17012.2,1.01322,2.19089,1.09864,1.24264,0,0.87267,0.78321,0.84755,0.69286,0.87075,0.77579,0.82938,0.63553,0.98704,1.87365,0.83527,1.20416,0,0.000597038,0.000597038,0.000597038
72,17222.6,1.00868,2.17364,1.08163,1.23691,0,0.87041,0.78783,0.84944,0.6949,0.86617,0.78016,0.83075,0.63901,0.97885,1.86153,0.82755,1.19974,0,0.000587655,0.000587655,0.000587655
73,17431.9,1.01355,2.20845,1.09183,1.24042,0,0.86722,0.80444,0.85284,0.69886,0.86588,0.79627,0.83674,0.64331,0.96743,1.85576,0.80859,1.19052,0,0.000578256,0.000578256,0.000578256
74,17640.6,1.00365,2.16682,1.07378,1.23423,0,0.85636,0.80554,0.85418,0.6985,0.85806,0.78843,0.83489,0.64161,0.97351,1.84907,0.81126,1.19826,0,0.000568844,0.000568844,0.000568844
75,17850.5,1.00609,2.1807,1.07452,1.23257,0,0.86125,0.80134,0.8528,0.6951,0.85971,0.79204,0.83532,0.64176,0.97675,1.84904,0.81506,1.19781,0,0.000559424,0.000559424,0.000559424
76,18067.9,1.0048,2.16128,1.06619,1.22795,0,0.86954,0.79717,0.85625,0.6988,0.86738,0.78717,0.83709,0.64234,0.97183,1.84223,0.81018,1.19134,0,0.00055,0.00055,0.00055
77,18277.8,0.99803,2.1461,1.056,1.23037,0,0.87792,0.79757,0.85754,0.70022,0.87239,0.78882,0.84042,0.64479,0.96605,1.84096,0.79583,1.18761,0,0.000540576,0.000540576,0.000540576
78,18486.7,0.99043,2.14367,1.05221,1.22216,0,0.86629,0.80174,0.85916,0.70116,0.86815,0.787,0.84151,0.6454,0.96372,1.83349,0.79416,1.18142,0,0.000531156,0.000531156,0.000531156
79,18695,0.97997,2.12843,1.03228,1.21834,0,0.86487,0.81373,0.86093,0.702,0.85689,0.80646,0.84365,0.64716,0.9612,1.8228,0.7851,1.18404,0,0.000521744,0.000521744,0.000521744
80,19040.4,0.9948,2.16088,1.04905,1.22433,0,0.86115,0.81127,0.86104,0.70155,0.85451,0.80442,0.84509,0.64668,0.96104,1.81511,0.7831,1.18043,0,0.000512345,0.000512345,0.000512345
81,19258.2,0.98015,2.13242,1.02512,1.21423,0,0.86605,0.81694,0.86459,0.70903,0.85671,0.80901,0.84726,0.65047,0.95227,1.80886,0.77563,1.17304,0,0.000502962,0.000502962,0.000502962
82,19467.1,0.97928,2.14028,1.02907,1.21465,0,0.88536,0.80592,0.86576,0.71062,0.87206,0.79883,0.84738,0.6528,0.94665,1.80665,0.76427,1.17025,0,0.0004936,0.0004936,0.0004936
83,19677.1,0.98102,2.11176,1.02121,1.2101,0,0.87826,0.81348,0.86782,0.71117,0.86377,0.8101,0.85015,0.65438,0.95105,1.80652,0.76465,1.17693,0,0.000484263,0.000484263,0.000484263
84,19886.9,0.97219,2.09951,1.00686,1.20818,0,0.86325,0.82173,0.86907,0.71349,0.85796,0.81148,0.8522,0.6575,0.95026,1.79603,0.75903,1.17421,0,0.000474954,0.000474954,0.000474954
85,20158.1,0.97241,2.10986,1.01024,1.20591,0,0.87808,0.81351,0.87148,0.71485,0.87527,0.80695,0.85626,0.65804,0.94378,1.78881,0.7529,1.17247,0,0.000465678,0.000465678,0.000465678
86,20367.7,0.97201,2.09574,0.99669,1.20763,0,0.8859,0.81867,0.87397,0.71569,0.87408,0.81292,0.85523,0.65779,0.9451,1.78283,0.74906,1.17294,0,0.00045644,0.00045644,0.00045644
87,20577.7,0.95793,2.08458,0.99092,1.2015,0,0.88292,0.81836,0.87524,0.71634,0.87464,0.81371,0.85626,0.65731,0.93955,1.77752,0.74073,1.16719,0,0.000447242,0.000447242,0.000447242
88,20787.8,0.95496,2.05345,0.97291,1.19288,0,0.8766,0.82767,0.87788,0.7191,0.86831,0.82052,0.85893,0.6582,0.93704,1.7725,0.73299,1.16474,0,0.00043809,0.00043809,0.00043809
89,21024.9,0.96074,2.0866,0.98363,1.19943,0,0.87443,0.82685,0.87958,0.72093,0.86787,0.82045,0.86239,0.66032,0.93284,1.76685,0.73327,1.15947,0,0.000428986,0.000428986,0.000428986
90,21241.5,0.95832,2.08286,0.98364,1.19624,0,0.88266,0.82076,0.87931,0.72145,0.87197,0.81171,0.85965,0.66121,0.93421,1.76301,0.7276,1.15793,0,0.000419936,0.000419936,0.000419936
