epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5918.81,1.4246,4.10893,1.59592,0.53704,0.42034,0.41055,0.2032,1.98199,5.58417,2.10332,0.000643101,0.000643101,0.000643101
43,6058.46,1.40206,4.07057,1.58137,0.48797,0.46386,0.4386,0.21357,1.96475,5.57876,2.12548,0.000628101,0.000628101,0.000628101
44,6198.21,1.40489,3.99268,1.5823,0.52104,0.41622,0.42097,0.19903,1.99378,5.5262,2.12332,0.000612981,0.000612981,0.000612981
45,6337.83,1.40122,3.99246,1.57864,0.47031,0.46362,0.41549,0.19944,1.98542,5.65467,2.11843,0.000597754,0.000597754,0.000597754
46,6477.58,1.39376,3.93838,1.56994,0.48927,0.43219,0.42264,0.20664,1.96925,5.5515,2.11585,0.000582435,0.000582435,0.000582435
47,6616.76,1.38152,3.87152,1.55007,0.52512,0.47041,0.42905,0.20556,1.95169,5.40303,2.10734,0.00056704,0.00056704,0.00056704
48,6755.9,1.37454,3.8435,1.55398,0.46624,0.45967,0.42326,0.20725,1.96926,5.64936,2.13778,0.000551584,0.000551584,0.000551584
49,6895.22,1.36187,3.79545,1.55541,0.48737,0.43809,0.42678,0.21194,1.99807,5.66402,2.15337,0.000536081,0.000536081,0.000536081
50,7034.76,1.37142,3.79873,1.54781,0.50153,0.47586,0.43746,0.20945,1.96767,5.48749,2.1342,0.000520548,0.000520548,0.000520548
51,7174.29,1.35109,3.75989,1.5346,0.53303,0.42418,0.42827,0.21076,1.96123,5.47473,2.14041,0.000505,0.000505,0.000505
52,7313.83,1.35103,3.6987,1.53074,0.45624,0.46209,0.42354,0.21197,1.93727,5.4544,2.10087,0.000489452,0.000489452,0.000489452
53,7453.4,1.33203,3.63918,1.52095,0.48704,0.46027,0.4321,0.21367,1.97897,5.46676,2.15532,0.000473919,0.000473919,0.000473919
54,7593.07,1.32637,3.58963,1.51627,0.5283,0.43353,0.4369,0.21516,1.96741,5.54667,2.13314,0.000458416,0.000458416,0.000458416
55,7732.77,1.32819,3.60719,1.51687,0.48621,0.46738,0.42334,0.20794,1.95935,5.45316,2.13419,0.00044296,0.00044296,0.00044296
56,7872.41,1.32134,3.58856,1.51224,0.55656,0.46045,0.43096,0.20903,1.9596,5.44011,2.13482,0.000427565,0.000427565,0.000427565
57,8011.94,1.31957,3.5023,1.50089,0.54413,0.43807,0.4397,0.21607,1.94826,5.32491,2.12082,0.000412246,0.000412246,0.000412246
58,8151.64,1.30921,3.49171,1.49175,0.53508,0.43556,0.4355,0.20991,1.99118,5.55776,2.17793,0.000397019,0.000397019,0.000397019
59,8291.2,1.31084,3.48711,1.49018,0.53083,0.42539,0.42023,0.20942,1.98665,5.49277,2.16975,0.000381899,0.000381899,0.000381899
60,8430.69,1.29256,3.44933,1.48282,0.5529,0.4407,0.44658,0.21518,1.9847,5.41728,2.16375,0.000366899,0.000366899,0.000366899
61,8570.31,1.27578,3.31883,1.47079,0.46691,0.47318,0.42233,0.2114,1.96939,5.42528,2.15342,0.000352037,0.000352037,0.000352037
62,8710.04,1.26104,3.28396,1.45913,0.58844,0.41274,0.44118,0.21854,1.97257,5.44681,2.1621,0.000337325,0.000337325,0.000337325
63,8849.62,1.25693,3.20867,1.45545,0.5072,0.43965,0.42766,0.21287,1.97474,5.63789,2.16109,0.000322778,0.000322778,0.000322778
64,8989.47,1.26991,3.33226,1.46186,0.45154,0.45333,0.41332,0.20429,1.97522,5.5699,2.17221,0.000308412,0.000308412,0.000308412
65,9128.98,1.26405,3.3027,1.45985,0.54088,0.43211,0.43195,0.21288,1.98617,5.50762,2.17551,0.000294239,0.000294239,0.000294239
66,9268.66,1.25391,3.26284,1.45082,0.56271,0.42776,0.43268,0.21445,1.9895,5.54783,2.19426,0.000280275,0.000280275,0.000280275
67,9408.22,1.23494,3.15332,1.43186,0.48763,0.45407,0.42706,0.21012,1.98995,5.47509,2.19448,0.000266532,0.000266532,0.000266532
68,9547.84,1.23195,3.18013,1.43465,0.57491,0.42093,0.43252,0.21303,1.98373,5.55185,2.18297,0.000253024,0.000253024,0.000253024
69,9687.46,1.22791,3.12693,1.43333,0.51158,0.44592,0.42239,0.2044,1.99235,5.51464,2.20105,0.000239766,0.000239766,0.000239766
70,9826.88,1.2364,3.16729,1.43394,0.48388,0.45693,0.43582,0.21282,1.98818,5.5649,2.19116,0.000226769,0.000226769,0.000226769
71,9966.33,1.22214,3.1195,1.42824,0.49889,0.46725,0.43108,0.21148,1.98926,5.54384,2.19059,0.000214046,0.000214046,0.000214046
72,10105.9,1.20764,3.02502,1.4112,0.49065,0.46986,0.42458,0.20942,1.98472,5.61801,2.18866,0.000201611,0.000201611,0.000201611
73,10245.4,1.21512,3.10294,1.42462,0.56298,0.4222,0.43813,0.21507,1.99496,5.55884,2.20831,0.000189475,0.000189475,0.000189475
74,10385.1,1.20679,3.0589,1.41322,0.55319,0.43642,0.42353,0.20899,1.97745,5.56933,2.177,0.000177651,0.000177651,0.000177651
75,10524.3,1.19252,2.99127,1.39861,0.54408,0.45231,0.44226,0.21559,1.9829,5.58407,2.19707,0.000166149,0.000166149,0.000166149
76,10663.6,1.19206,2.95879,1.40116,0.49196,0.46492,0.4297,0.21347,1.9871,5.56576,2.18998,0.000154982,0.000154982,0.000154982
77,10802.9,1.18969,2.95617,1.3978,0.48718,0.47685,0.43832,0.21599,1.97901,5.51458,2.19052,0.000144161,0.000144161,0.000144161
