epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5951.1,0.80374,1.43435,0.65916,1.00189,0,0.88929,0.81821,0.91708,0.75912,0.79075,0.88382,0.91428,0.71817,0.60907,0.91613,0.5859,0.92973,0,0.00044296,0.00044296,0.00044296
29,6147.9,0.79601,1.41317,0.65008,0.99794,0,0.80146,0.86621,0.90689,0.75155,0.81155,0.87819,0.91849,0.7116,0.60735,1.00322,0.59478,0.92483,0,0.000412246,0.000412246,0.000412246
30,6402.69,0.78268,1.3867,0.63204,0.99136,0,0.80518,0.89322,0.9064,0.74971,0.82463,0.87649,0.8987,0.70733,0.61026,0.94481,0.5854,0.92631,0,0.000381899,0.000381899,0.000381899
31,6636.77,0.779,1.37984,0.62782,0.98894,0,0.86647,0.83598,0.90861,0.76166,0.87738,0.8432,0.90457,0.70885,0.5906,0.85725,0.54768,0.91823,0,0.000352037,0.000352037,0.000352037
32,6833.94,0.77903,1.39461,0.63069,0.98843,0,0.81348,0.87776,0.91279,0.75737,0.8175,0.88232,0.90958,0.70663,0.5983,0.98053,0.56044,0.91673,0,0.000322778,0.000322778,0.000322778
33,7030.49,0.76948,1.36363,0.61288,0.98482,0,0.79912,0.90278,0.91751,0.76796,0.80254,0.90671,0.92113,0.71488,0.60915,0.883,0.55772,0.92622,0,0.000294239,0.000294239,0.000294239
34,7226.93,0.76904,1.37175,0.61599,0.98634,0,0.84972,0.84898,0.90475,0.76067,0.87631,0.83247,0.90992,0.71578,0.60088,0.87279,0.55569,0.91438,0,0.000266532,0.000266532,0.000266532
35,7847.38,0.76384,1.35608,0.60345,0.97983,0,0.88887,0.81935,0.90374,0.75931,0.89205,0.82855,0.90707,0.70929,0.58154,0.91889,0.55077,0.90345,0,0.000239766,0.000239766,0.000239766
36,8080.14,0.75574,1.33789,0.59574,0.97782,0,0.83122,0.88172,0.91329,0.75929,0.83513,0.88115,0.915,0.70969,0.60897,0.92304,0.54329,0.9196,0,0.000214046,0.000214046,0.000214046
37,8275.62,0.75029,1.33219,0.58832,0.97635,0,0.88825,0.8397,0.90469,0.76087,0.8169,0.90579,0.91011,0.71044,0.59276,0.86332,0.51828,0.90414,0,0.000189475,0.000189475,0.000189475
38,8472.02,0.74423,1.31705,0.58065,0.97312,0,0.79342,0.89295,0.89645,0.75047,0.80021,0.90182,0.90553,0.71681,0.60058,0.86581,0.53818,0.91013,0,0.000166149,0.000166149,0.000166149
39,8668.64,0.73778,1.30524,0.57303,0.96945,0,0.81376,0.88481,0.90558,0.76185,0.81963,0.88446,0.90613,0.71647,0.58738,0.86111,0.54275,0.90016,0,0.000144161,0.000144161,0.000144161
40,8865.11,0.73734,1.30979,0.5714,0.96938,0,0.81999,0.88522,0.90607,0.76475,0.82707,0.8785,0.90825,0.72474,0.59413,0.86021,0.53692,0.908,0,0.000123596,0.000123596,0.000123596
41,9061.46,0.73522,1.3038,0.56951,0.96769,0,0.86506,0.84226,0.91079,0.76612,0.88392,0.8248,0.91214,0.7216,0.59857,0.8607,0.53794,0.91389,0,0.000104537,0.000104537,0.000104537
42,9257.04,0.73108,1.30137,0.56673,0.96773,0,0.81143,0.8843,0.90068,0.76426,0.81743,0.89314,0.90609,0.71841,0.59855,0.93569,0.54399,0.91148,0,8.70577e-05,8.70577e-05,8.70577e-05
