epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2460.4,1.49236,1.89281,1.69751,0.45066,0.43589,0.38595,0.19878,1.88329,1.79325,2.08528,0.000828443,0.000828443,0.000828443
43,2517.53,1.46636,1.83952,1.67573,0.48609,0.4591,0.42824,0.21951,1.88214,1.74609,2.11813,0.000820525,0.000820525,0.000820525
44,2574.72,1.47406,1.86565,1.67767,0.51747,0.44562,0.40048,0.20924,1.89462,1.8326,2.12884,0.000812468,0.000812468,0.000812468
45,2632.17,1.4673,1.835,1.66939,0.44847,0.47493,0.42768,0.22176,1.86083,1.76472,2.06899,0.000804277,0.000804277,0.000804277
46,2689.77,1.44696,1.82521,1.65358,0.48193,0.4345,0.4417,0.22338,1.88141,1.76842,2.12743,0.000795954,0.000795954,0.000795954
47,2747.06,1.44909,1.82801,1.66284,0.60296,0.46063,0.44597,0.21977,1.89373,1.69392,2.13972,0.000787503,0.000787503,0.000787503
48,2804.32,1.45286,1.81039,1.66206,0.57877,0.45688,0.43993,0.22258,1.86644,1.7055,2.12979,0.000778929,0.000778929,0.000778929
49,2861.23,1.46007,1.75135,1.65459,0.44812,0.46129,0.43833,0.22521,1.87537,1.66626,2.1311,0.000770234,0.000770234,0.000770234
50,2918.06,1.45062,1.76585,1.65595,0.43461,0.47239,0.43425,0.22382,1.85094,1.70703,2.13123,0.000761423,0.000761423,0.000761423
51,2975.43,1.43556,1.73037,1.64134,0.55661,0.44123,0.45599,0.22281,1.89331,1.67232,2.17037,0.0007525,0.0007525,0.0007525
52,3032.54,1.44415,1.74534,1.6476,0.55877,0.43757,0.45802,0.22631,1.89223,1.67814,2.13398,0.000743468,0.000743468,0.000743468
53,3089.99,1.43581,1.71338,1.64281,0.5061,0.41735,0.43393,0.21661,1.88323,1.7078,2.12488,0.000734332,0.000734332,0.000734332
54,3146.84,1.43318,1.70808,1.63022,0.55616,0.47953,0.46082,0.23493,1.88529,1.66712,2.13938,0.000725094,0.000725094,0.000725094
55,3204.36,1.39872,1.67564,1.60648,0.5657,0.44948,0.44322,0.22048,1.91416,1.72945,2.18507,0.000715761,0.000715761,0.000715761
56,3263.83,1.38498,1.65414,1.5976,0.52597,0.46049,0.45495,0.22413,1.89541,1.66808,2.13999,0.000706335,0.000706335,0.000706335
57,3321.54,1.40797,1.68148,1.6106,0.45136,0.48087,0.42845,0.21708,1.88716,1.72868,2.14833,0.00069682,0.00069682,0.00069682
58,3378.54,1.40329,1.65668,1.6074,0.53708,0.49487,0.46177,0.23246,1.89886,1.6562,2.11181,0.000687222,0.000687222,0.000687222
59,3435.62,1.38214,1.60675,1.58611,0.47132,0.43389,0.41877,0.21358,1.87591,1.71349,2.14296,0.000677543,0.000677543,0.000677543
60,3492.66,1.387,1.62081,1.5947,0.49853,0.44857,0.45158,0.22929,1.8709,1.67783,2.12497,0.000667789,0.000667789,0.000667789
61,3549.62,1.37689,1.59713,1.59426,0.55839,0.46886,0.45523,0.23333,1.89613,1.6396,2.13941,0.000657963,0.000657963,0.000657963
62,3607.12,1.34585,1.55759,1.56483,0.59631,0.42245,0.43595,0.22619,1.90632,1.689,2.15845,0.000648071,0.000648071,0.000648071
63,3664.11,1.36084,1.56689,1.56883,0.59002,0.4662,0.46168,0.23836,1.88816,1.62496,2.1425,0.000638115,0.000638115,0.000638115
64,3720.73,1.36239,1.573,1.58047,0.53729,0.45416,0.46459,0.24038,1.89129,1.67902,2.13109,0.000628101,0.000628101,0.000628101
65,3778.13,1.34936,1.53408,1.55858,0.53653,0.41371,0.43345,0.22288,1.90463,1.72514,2.18871,0.000618034,0.000618034,0.000618034
66,3835.05,1.33625,1.57217,1.56804,0.49254,0.44785,0.45124,0.23029,1.90468,1.67121,2.16449,0.000607916,0.000607916,0.000607916
67,3892.07,1.32374,1.49766,1.538,0.48762,0.45475,0.45439,0.23566,1.92142,1.67142,2.20701,0.000597754,0.000597754,0.000597754
68,3948.98,1.31449,1.49799,1.53039,0.48467,0.44009,0.45169,0.22703,1.92385,1.64122,2.19377,0.000587551,0.000587551,0.000587551
69,4006.21,1.29885,1.46978,1.52702,0.51328,0.42419,0.45036,0.2325,1.88168,1.65943,2.15246,0.000577311,0.000577311,0.000577311
70,4062.86,1.32294,1.50602,1.54923,0.58147,0.48014,0.48135,0.24443,1.92863,1.61026,2.1966,0.00056704,0.00056704,0.00056704
71,4119.63,1.29547,1.47229,1.52715,0.56318,0.49514,0.46089,0.24045,1.91681,1.63886,2.19102,0.000556742,0.000556742,0.000556742
72,4176.61,1.2949,1.43578,1.51694,0.51474,0.46898,0.46629,0.23459,1.91096,1.63698,2.19479,0.000546421,0.000546421,0.000546421
73,4234.94,1.29312,1.44779,1.52468,0.54053,0.50041,0.46199,0.22662,1.92909,1.68955,2.22282,0.000536081,0.000536081,0.000536081
74,4292.69,1.2909,1.4284,1.50946,0.49809,0.49794,0.47651,0.23365,1.93217,1.6082,2.21278,0.000525728,0.000525728,0.000525728
75,4349.43,1.26712,1.42883,1.50221,0.55229,0.47077,0.47971,0.24247,1.92106,1.64425,2.20279,0.000515366,0.000515366,0.000515366
76,4406.53,1.28263,1.43872,1.51224,0.51162,0.46695,0.45241,0.22653,1.96148,1.64553,2.2539,0.000505,0.000505,0.000505
77,4463.52,1.24143,1.35729,1.47357,0.55434,0.48651,0.46298,0.23606,1.93218,1.61664,2.24604,0.000494634,0.000494634,0.000494634
78,4520.87,1.27066,1.40051,1.49704,0.55955,0.47521,0.45667,0.23134,1.95074,1.66316,2.26407,0.000484272,0.000484272,0.000484272
79,4577.72,1.26521,1.38843,1.49034,0.5386,0.50289,0.46407,0.23276,1.94592,1.63317,2.25469,0.000473919,0.000473919,0.000473919
80,4635.25,1.23918,1.33798,1.46753,0.49537,0.45024,0.4415,0.22512,1.9483,1.67239,2.2421,0.000463579,0.000463579,0.000463579
81,4692.44,1.23976,1.34922,1.47134,0.45351,0.48121,0.43506,0.2256,1.95318,1.61905,2.251,0.000453258,0.000453258,0.000453258
82,4749.26,1.22744,1.31298,1.449,0.52765,0.48944,0.44872,0.22956,1.96083,1.64279,2.27572,0.00044296,0.00044296,0.00044296
83,4805.96,1.23795,1.32873,1.47234,0.55118,0.4811,0.46809,0.23867,1.95442,1.6375,2.25938,0.000432689,0.000432689,0.000432689
84,4862.99,1.22329,1.32145,1.45325,0.50594,0.4663,0.46357,0.23582,1.95004,1.70578,2.25655,0.000422449,0.000422449,0.000422449
85,4919.79,1.20208,1.29243,1.43974,0.56054,0.47342,0.44808,0.22885,1.96756,1.6589,2.28759,0.000412246,0.000412246,0.000412246
